STWORD
ada
adam
adela
adelajda
adrian
adriana
adrianna
agata
agnieszka
alan
albert
aleks
aleksander
aleksandra
aleksy
alex
alexander
alexandra
alicja
alina
amadeusz
amanda
amelia
anastazja
anatol
andrzej
and¿elika
aneta
angelika
aniela
anika
anita
anna
antoni
antonia
antonina
apolonia
arianna
arkadiusz
aron
artur
august
aurelia
barbara
bart³omiej
bartosz
beata
benedykt
beniamin
benjamin
bernard
bianka
blanka
b³a¿ej
bogdan
bogna
bogus³aw
boles³aw
borys
brajan
brayan
bronis³aw
bruno
brunon
bryan
brygida
carmen
cecylia
celina
cezary
cyprian
cyryl
dagmara
dalia
damian
daniel
daniela
danuta
daria
dariusz
david
dawid
denis
diana
diego
dobrawa
dobrochna
dominik
dominika
donatan
dorian
dorota
edward
edyta
elena
eliza
el¿bieta
emanuel
emil
emilia
emilian
emily
emma
ernest
eryk
estera
ewa
ewelina
fabian
faustyna
felicja
feliks
filip
florian
franciszek
franciszka
fryderyk
gabriel
gabriela
gaja
gloria
gniewko
gniewomir
gracjan
greta
grzegorz
gustaw
halina
hana
hanna
helena
henryk
honorata
hubert
hugo
ida
idalia
iga
ignacy
igor
ilona
ines
inez
inga
inka
irena
ireneusz
ivo
iwo
iwona
izabela
izabella
jacek
jadwiga
jagna
jagoda
jakub
jan
jana
janina
janusz
jarema
jaros³aw
jaœmina
jeremi
jeremiasz
jerzy
jessica
jêdrzej
joachim
joanna
joel
jolanta
jonasz
jonatan
jowita
józef
judyta
julia
julian
julianna
julita
juliusz
justyna
kacper
kai
kaja
kajetan
kalina
kamil
kamila
karim
karina
karol
karolina
kasjan
kaspian
katarzyna
katia
kazimierz
kevin
kewin
kinga
klara
klaudia
klaudiusz
klemens
klementyna
konrad
konstancja
konstanty
kordian
kornel
kornelia
korneliusz
kosma
kryspin
krystian
krystyna
krzysztof
ksawery
ksawier
ksenia
kuba
lara
larysa
laura
lea
lena
leo
leon
leonard
leonardo
leopold
leszek
lidia
lila
lilia
liliana
lilianna
lilla
livia
liwia
lucjan
lucyna
ludwik
ludwika
luiza
³ucja
³ukasz
maciej
magda
magdalena
maja
majka
maks
maksym
maksymilian
malina
malwina
ma³gorzata
marcel
marcela
marceli
marcelina
marcin
marcjanna
marek
maria
marianna
marika
mariusz
marlena
marta
martin
martyna
marzena
mateusz
matylda
maurycy
max
maximilian
maxymilian
maya
melania
melisa
mia
michael
michalina
micha³
michelle
mieczys³aw
mieszko
miko³aj
mila
milan
milena
mi³osz
mira
miriam
miron
miros³aw
monika
nadia
naomi
natalia
natan
nataniel
natasza
nathan
nathaniel
nel
nela
nicol
nicola
nicolas
nicole
nikodem
nikola
nikolas
nina
noemi
norbert
oksana
oktawia
oktawian
ola
olaf
oleg
olga
olgierd
olimpia
oliver
olivia
olivier
oliwer
oliwia
oliwier
oriana
oscar
oskar
otylia
pascal
patrycja
patryk
paula
paulina
pawe³
philip
piotr
pola
przemys³aw
rados³aw
rafa³
remigiusz
rita
robert
roch
roksana
roma
roman
roxana
rozalia
ró¿a
ryan
ryszard
sabina
samanta
samuel
sandra
santiago
sara
sebastian
selena
sergiusz
seweryn
s³awomir
sofia
sonia
sophie
stanis³aw
stefan
stefania
stella
sylwester
sylwia
szczepan
szymon
tadeusz
tamara
tatiana
teodor
teofil
teresa
tobiasz
tola
tomasz
tymon
tymoteusz
tytus
urszula
vanessa
victor
victoria
viktoria
vincent
viviana
wanda
wanesa
wanessa
weronika
wiktor
wiktoria
wilhelm
william
wincenty
wioletta
witold
w³adys³aw
wojciech
xavier
zachary
zbigniew
ziemowit
zofia
zoja
zuzanna
¿aneta
