word;D20181937.txt;D20181950.txt;Artyku³Sportowy2.txt;Artyku³Sportowy1.txt
przerwa;0;0;0;1
przestrzenny;0;1;0;0
przestêpstwa;0;0;1;0
przestêpstwo;0;0;1;0
przewodniczyæ;1;0;0;0
przybyæ;0;0;0;1
przygotowywaæ;0;0;0;1
przyjœæ;0;0;0;1
przyk³ad;0;0;0;1
przylecieæ;0;0;0;1
przynieœæ;0;0;0;1
przypomnieæ;0;0;1;0
przyst¹piæ;0;0;0;1
przysz³oœæ;0;0;0;1
przyznanie;0;0;1;0
przyznawaæ;0;0;0;1
pszczó³kowski;1;0;0;0
publiczny;0;1;1;0
punkt;1;0;0;0
pêkniêcie;0;0;0;1
rad;0;1;0;0
rafa³;0;0;0;1
rama;0;1;0;0
real;0;0;1;0
rehabilitowaæ;0;0;0;1
reprezentacja;0;0;1;0
reszta;0;0;0;1
rodriguez;0;0;1;0
rok;0;1;1;0
ronaldo;0;0;1;0
rozdziaæ;0;1;0;0
rozegraæ;0;0;0;1
rozporz¹dzenie;0;1;0;0
rozpoznanie;1;0;0;0
rozstrzygaæ;0;0;0;1
rozwi¹zaæ;0;0;0;1
rozwój;0;1;0;0
rynek;0;0;0;1
rzeczpospolita;1;0;0;0
rz¹dowy;0;1;0;0
sadlok;0;0;0;1
sandomierz;0;0;0;1
sensie;1;0;0;0
sezon;0;0;0;1
si³ownia;0;0;0;1
skarbowy;0;0;1;0
skarbówka;0;0;1;0
skarga;1;0;0;0
skazuj¹cy;0;0;1;0
skazywaæ;0;0;1;0
skrzyd³owy;0;0;0;1
sk³ad;1;0;0;1
sk³adka;0;1;0;0
sobotni;0;0;0;1
socjalna;0;1;0;0
sparing;0;0;0;1
spiegel;0;0;1;0
spokojnie;0;0;0;1
sportowy;0;0;0;1
spotkanie;0;0;1;0
spotykaæ;0;0;0;1
spowodowaæ;0;0;0;1
spo³eczny;0;1;0;0
sprawa;0;1;1;1
sprawiedliwoœæ;0;0;1;0
sprawozdawca;1;0;0;0
sprzedaæ;0;0;0;1
sprzeda¿;0;0;1;0
spó³ka;0;0;1;0
sp³aciæ;0;0;0;1
staæ;0;0;0;1
sta³a;0;0;0;1
stolarczyk;0;0;0;1
strata;0;0;0;1
strona;0;0;0;1
strzeliæ;0;0;0;1
sukces;0;0;0;1
swobodnie;0;0;0;1
sytuacja;0;0;0;1
szacowaæ;0;0;0;1
szaleæ;0;0;0;1
szansa;0;0;0;1
szatnia;0;0;0;1
szczegó³owy;0;1;0;0
szczup³y;0;0;0;1
sztab;0;0;0;1
s¹d;0;0;1;0
s¹dowy;0;0;1;0
s¹siedni;0;0;1;0
s³owak;0;0;0;1
s³u¿ba;0;1;0;0
taca;0;0;0;1
teraz;0;0;0;1
termin;0;0;0;1
tibor;0;0;0;1
to;1;0;0;0
trafiæ;0;0;0;1
transferowy;0;0;0;1
trener;0;0;0;1
trenerski;0;0;0;1
trening;0;0;0;1
trenowaæ;0;0;0;1
tryba;1;0;0;0
trybuna³;1;0;0;0
tuleja;1;0;0;0
twierdziæ;0;0;0;1
tydzieñ;0;0;0;1
t³umacz;0;0;0;1
ubezpieczenie;0;1;0;0
uboczny;1;0;0;0
udaæ;0;0;0;1
udzia³;0;0;1;0
ukrycie;0;0;1;0
ukrywaæ;0;0;1;0
umorzyæ;1;0;0;0
uraz;0;0;0;1
urz¹d;0;1;1;0
usta;1;1;0;0
ustawa;1;1;0;0
us³uga;0;1;0;0
us³yszeæ;0;0;1;0
w;1;0;0;0
warunek;0;0;0;1
wat;0;1;1;1
wa¿ny;0;0;0;1
wchodziæ;0;1;0;0
